,numberOfEpisodes,Finalization,originalTitle,startYear,endYear,runtimeMinutes,averageRating,numVotes,GenderMale,GenderFeMale,genre_action,genre_adult,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_musical,genre_mystery,genre_news,genre_romance,genre_sci-fi,genre_talk-show,genre_thriller,genre_war,genre_western,numberEpisodePrediction
0,50,0,Hana no mahoutsukai Mary Bell,0.0714285714285694,0,0.19402985074626863,0.6781609195402298,5.986271981777789e-06,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
1,40,0,Fushigi no umi no Nadia,0.0,0,0.20895522388059698,0.7816091954022988,0.0009316135771641683,0.8,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0
2,12,0,Abenteuer Airport,0.0,0,0.5074626865671641,0.49425287356321834,4.489703986333342e-06,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
3,15,0,Bagdad Cafe,0.0,0,0.28358208955223885,0.689655172413793,0.0001938055554100559,0.4,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
4,11,0,Brewster Place,0.0,0,0.28358208955223885,0.6206896551724137,3.9659051879277845e-05,0.2,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
5,7,0,Broken Badges,0.0,0,0.7313432835820896,0.7241379310344827,2.8434791913444494e-05,0.6000000000000001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
6,13,0,Capital News,0.0,0,0.7313432835820896,0.5632183908045976,8.23112397494446e-06,0.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
7,33,0,Carol & Company,0.0,0,0.28358208955223885,0.7241379310344827,5.312816383827787e-05,0.4,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
8,13,0,City,0.0,0,0.28358208955223885,0.528735632183908,1.7210531947611142e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
9,13,0,Claxon,0.035714285714277594,0,0.20895522388059698,0.7701149425287356,2.0951951936222262e-05,0.8,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
10,21,0,Dracula: The Series,0.0,0,0.16417910447761194,0.7701149425287356,0.00014142567556950025,0.8,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
11,13,0,Elvis,0.0,0,0.28358208955223885,0.7471264367816092,0.0001107460316628891,0.8,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
12,9,0,A Family for Joe,0.0,0,0.28358208955223885,0.6781609195402298,1.1972543963555577e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
13,20,0,Les filles de Caleb,0.0,0,0.7313432835820896,0.7471264367816092,0.0001803364434510559,0.4,0.6000000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
14,24,0,The Girl from Tomorrow,0.035714285714277594,0,0.1791044776119403,0.793103448275862,0.0006390345340547789,0.4,0.6000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
15,26,0,Grand,0.0,0,0.28358208955223885,0.7701149425287356,7.93181037585557e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
16,24,0,Ein Haus in der Toscana,0.035714285714277594,0,0.5074626865671641,0.5747126436781609,1.2720827961277801e-05,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
17,9,0,Hull High,0.0,0,0.7313432835820896,0.7586206896551724,0.0001107460316628891,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
18,24,0,Kurt Olssons julkalender,0.0,0,0.05970149253731344,0.5977011494252874,5.163159584283343e-05,0.6000000000000001,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.0
19,11,0,Lifestories,0.0,0,0.7313432835820896,0.6436781609195401,5.986271981777789e-06,0.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
20,14,0,Nasty Boys,0.0,0,0.7313432835820896,0.7471264367816092,7.033869578588902e-05,0.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
21,26,0,The New Adventures of Black Beauty,0.0,0,0.20895522388059698,0.6206896551724137,2.4693371924833375e-05,0.4,0.6000000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
22,8,0,New Attitude,0.0,0,0.28358208955223885,0.7356321839080459,8.979407972666683e-06,0.2,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
23,13,0,Nightingales,0.0,0,0.20895522388059698,0.8045977011494251,0.00014142567556950025,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
24,14,0,Normal Life,0.0,0,0.28358208955223885,0.6091954022988505,8.979407972666683e-06,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
25,7,0,Not with a Bang,0.0,0,0.28358208955223885,0.6091954022988505,1.2720827961277801e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
26,12,0,Chillers,0.0,0,0.5820895522388059,0.6436781609195401,3.142792790433339e-05,0.6000000000000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.0
27,18,0,Perfect Scoundrels,0.0,0,0.7313432835820896,0.632183908045977,1.7958815945333366e-05,0.8,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
